,description,variety
132,"This single-vineyard estate wine is made by Nils Venge and Tom Rinaldi, who have somehow managed to capture quiet elegance and powerful fruit at the same time. Red-fruit driven, it's round and rich, with moderate tannin and cassis, clove and black pepper highlights.",Cabernet Sauvignon
133,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",Cabernet Sauvignon
134,"Polished in every way, this brings an enticing potpourri of almond paste, apple and white pepper. Wild yeast fermentation in oak (30% new) marries complex components in perfect precise balance. As with all the Ponzi 2014 Chardonnays, the acids are bright but not biting, and the wines are built for both near-term enjoyment and medium-term aging.",Chardonnay
135,"Juicy, sun-kissed grapefruits and apple blossoms explode from this buoyantly fresh, off-dry Kabinett. Invigorating acidity lends backbone and a steely focus that resonates long on the finish. It's beautiful now, but should hold nicely, and perhaps improve, through 2020.",Riesling
136,"Dense, rich red fruit belies an elegant wine that finds balance despite the concentration of vanilla and berry. Soft, approachable and integrated tannin and oak let the whole exist as one, instead of separate parts. This shows off the appellation's mountain fruit and rocky minerality.",Cabernet Sauvignon
137,"This lush offering opens with appealing aromas of rose petals and fresh strawberries, then glides into a smooth-as-silk midpalate. The berry/cherry fruit is nicely adorned with toasty barrel flavors, and it's as satiny as new sheets. You'll find it hard to keep from gulping this by the glassful.",Pinot Noir
138,"Bittersweet at first, with sizable tannins, this Cab also contains 13.8% Petit Verdot. Red and black berries give it a juicy palate atop dusty, chalky tannins and a richness of leather and clove on the finish.",Cabernet Sauvignon
139,"Aromas and flavors of sandalwood and grenadine layer around this velvety, seductive wine. It offers black tea, truffle and forest floor, the body sinewy and complex. Savory in cinnamon and clove on the finish, it needs more time to open; decant or cellar through 2021.",Pinot Noir
140,"Warm vanilla notes are laid across ripe nectarine, apple skin and a twist of lemon rind on this single-vineyard study by the Los Gatos-based winery. Pencil lead kicks off the palate, which then opens into poached apples and lemon oil, laid across a sizzling acidity that lasts long.",Chardonnay
141,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish.",Chardonnay
142,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character.",Chardonnay
143,"A limited, popular entry in Winderlea's extensive single-vineyard lineup, this suggests cherry kirsch with streaks of coffee and tobacco. The pretty fruit leads into darker notes of tar and espresso. Still young and primary, the Juliard may be among the vintage's most long-lasting wines.",Pinot Noir
144,"This is a very lively wine with a creamy mousse. The wine is towards dry, bringing out great white and citrus fruit flavors with a burst of tangy acidity. It comes from the village of Chouilly in the Côte des Blancs, which gives the wine a tight mineral texture at the end.",Chardonnay
145,"Restrained aromas of black plum barely set the stage for flavors of dark plum, cherry-vanilla, mint eucalyptus and ground black pepper. Fruit flavors are soft, but the minty notes never overpower brightness and acidity. Tannins are just shy of opulent, and the finish is marked by a note of tart apple crispness.",Cabernet Sauvignon
146,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt.",Chardonnay
147,"Lush aromatics conjure up dreams of strawberry cream. This is quite pretty, with perfect balance among its components of fruit, acid and tannin, set comfortably in a compact frame.",Pinot Noir
148,"Cedar, cherry, black olive, wet earth, green olive and freshly plucked plum pop on the nose of this bottling. The palate shows lots of ripe black cherry down the middle, but is surrounded by a tangy green olive and an underripe-berry character, whose tartness enlivens the mouth.",Red Blend
149,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Pinot Noir
150,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",Pinot Noir
151,This new sister label from Elk Cove offers 100% Willamette Valley Pinot Noir at an everyday price. Fresh cranberry and raspberry fruit is framed by herb-tinged tannins. The immaculate craftsmanship and clean direct flavors are light years beyond budget Pinot Noir from most other regions. This is your perfect salmon wine.,Pinot Noir
152,"Planted with eight grapes, including the three Pinot “sisters”—Blanc, Gris and Noir—this site is located just below Archery Summit in the heart of the Dundee Hills. The pale, pretty rosé hue introduces this most elegant and restrained of the winery's vineyard selections. It's a velvety, finesse wine, with delicate flavors of rhubarb, cinnamon, cardamom and cocoa.",Pinot Noir
153,"With some firm structure, this wine also has great fruitiness. It offers plenty of raspberry fruits, good acidity and a solid texture of tannins. The acidity keeps the wine perfumed and fresh. Drink the wine from 2019.",Pinot Noir
154,"Apple, pear and stone-fruit flavors are vibrant and fresh from nose to finish of this delicately sweet Kabinett. It offers uncomplicated refreshment, but is anchored with taut acidity and honed, steely minerality. The finish is long and persistent.",Riesling
155,"A slightly herbal, minty character gives personality to this full-bodied, generous and richly textured wine. It is attractively dry, nicely tannic, layered with black cherry, wild berry and rosemary notes. Great to drink now through 2020 with rich meats or mushrooms.",Cabernet Sauvignon
156,"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",Cabernet Sauvignon
157,"From a valley-floor site, this blend of 70% Zinfandel and 30% Cabernet Sauvignon delights in a depth of blackberry and cedar, reflecting well on both varieties. Firm tannin and restrained oak provide room for a touch of gun smoke and pencil lead, with a lengthy finish.",Red Blend
158,"From several vineyard sites and combining all five red Bordeaux varieties, this wine is fermented in stainless steel before it rests over two years in both French and American oak. Powerful, it retains an elegance amid a tannic, grippy entry of toasted oak and black cherry, and a rich textured finish accented in cinnamon and chocolate.",Cabernet Sauvignon
159,"Grippy leather and tobacco provide a gravelly texture and burly nature to this medium-bodied wine, which finds its groove in the glass. Concentrated and dense, it offers smoother elements of black currant, cassis and leather on the finish.",Cabernet Sauvignon
